"","subplot","year","block","cropping","plot","organic","till","treatment","grain","straw","Nupt_tot","TKW","crop_density","sos","SD","pop","DD","eos","greenup","stable","browndown","slope.greenup","slope.browndown"
"1","02D",2018,"A","O-RT","02","organic","no till","drought",2.6,2.2,88,259.4,196,191,-21803.81485,146,172.4627715,173,-21994.81485,21976.2776215,0.537228499999998,-65.0055566307465,-15.0488728419214
"2","08D",2018,"A","C-IT","08","conventional","tillage","drought",2.9,2.4,91,240.3,185,191,-10442.20226,145,168.6882104,169,-10633.20226,10610.8904704,0.311789599999997,0,-2.65871543913332
"3","08R",2018,"A","C-IT","08","conventional","tillage","control",3.6,2.5,132,275.92,136,146,154.8319105,157,169.5302478,175,8.83191049999999,14.6983373,5.46975219999999,3.3614281193689,-23.0769718224914
"4","12D",2018,"A","C-NT","12","conventional","no till","drought",3.3,3,121,244.82,206,191,-2466.052841,146,146,171,-2657.052841,2612.052841,25,-26.6727267529516,-11.2832825711377
"5","12R",2018,"A","C-NT","12","conventional","no till","control",3.3,2.4,128,298.58,134,156,166.2348413,168,173.1331378,177,10.2348413,6.89829649999999,3.86686220000001,41.0841455947266,-39.3120042011516
"6","13D",2018,"A","O-IT","13","organic","tillage","drought",2.6,2.6,97,241.56,146,191,-5156.08512,145,167.0363846,169,-5347.08512,5323.1215046,1.96361540000001,0,-43.2758658250779
"7","13R",2018,"A","O-IT","13","organic","tillage","control",2.8,2.3,90,272.48,246,147,153.738707,157,165.5611915,173,6.73870700000001,11.8224845,7.43880849999999,7.87238033768255,-69.1794494189272
"8","19D",2018,"B","C-NT","19","conventional","no till","drought",3.2,2.1,127,274.72,110,191,-73.57837519,145,171.4730612,175,-264.57837519,245.05143639,3.52693880000001,-28.6759800498199,-9.35667869923187
"9","19R",2018,"B","C-NT","19","conventional","no till","control",4.4,2.5,174,310.24,106,153,159.4242382,162,167.3141112,174,6.42423819999999,7.88987300000002,6.68588879999999,29.7783935616451,-4.78780948095995
"10","24D",2018,"B","O-IT","24","organic","tillage","drought",3.8,3.3,119,253.08,166,191,-8164.405974,145,168.9021493,171,-8355.405974,8333.3081233,2.09785070000001,0,-45.6859791774825
